filename, language, JavaScript, JSON, HTML, CSS, comment, blank, total
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\app.js, JavaScript, 142, 0, 0, 0, 19, 50, 211
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\config.js, JavaScript, 15, 0, 0, 0, 2, 3, 20
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\package-lock.json, JSON, 0, 4124, 0, 0, 0, 1, 4125
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\package.json, JSON, 0, 31, 0, 0, 0, 1, 32
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\about_game.html, HTML, 0, 0, 119, 0, 2, 2, 123
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\about_team.html, HTML, 0, 0, 117, 0, 2, 1, 120
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\delete_account.html, HTML, 0, 0, 97, 0, 0, 2, 99
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\game_setup.html, HTML, 0, 0, 171, 0, 12, 13, 196
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\head_to_head.html, HTML, 0, 0, 89, 0, 1, 3, 93
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\index.html, HTML, 0, 0, 118, 0, 6, 1, 125
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\javascripts\chad_postgreSQL_test_1.js, JavaScript, 26, 0, 0, 0, 22, 6, 54
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\javascripts\delete_account.js, JavaScript, 3, 0, 0, 0, 1, 2, 6
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\javascripts\game_setup.js, JavaScript, 42, 0, 0, 0, 4, 9, 55
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\javascripts\leaderboard.js, JavaScript, 67, 0, 0, 0, 3, 21, 91
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\javascripts\quick_game_default.js, JavaScript, 16, 0, 0, 0, 0, 4, 20
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\javascripts\signin_stuff.js, JavaScript, 12, 0, 0, 0, 1, 6, 19
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\javascripts\start_game.js, JavaScript, 309, 0, 0, 0, 49, 99, 457
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\leaderboard.html, HTML, 0, 0, 102, 0, 2, 5, 109
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\quick_game.html, HTML, 0, 0, 153, 0, 3, 14, 170
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\sign_in.html, HTML, 0, 0, 114, 0, 0, 7, 121
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\sign_in_success.html, HTML, 0, 0, 74, 0, 2, 9, 85
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\sign_up.html, HTML, 0, 0, 106, 0, 1, 5, 112
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\sign_up_success.html, HTML, 0, 0, 109, 0, 2, 2, 113
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\about_game.css, CSS, 0, 0, 0, 42, 50, 12, 104
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\about_team.css, CSS, 0, 0, 0, 40, 25, 11, 76
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\game_setup.css, CSS, 0, 0, 0, 41, 1, 12, 54
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\game_signin.css, CSS, 0, 0, 0, 45, 1, 7, 53
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\game_signin_success.css, CSS, 0, 0, 0, 24, 0, 5, 29
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\game_signup.css, CSS, 0, 0, 0, 29, 0, 6, 35
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\head_to_head.css, CSS, 0, 0, 0, 19, 5, 4, 28
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\index.css, CSS, 0, 0, 0, 73, 22, 12, 107
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\leaderboard.css, CSS, 0, 0, 0, 45, 2, 7, 54
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\quick_game.css, CSS, 0, 0, 0, 113, 18, 18, 149
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\quick_game_grid.css, CSS, 0, 0, 0, 46, 2, 19, 67
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\quick_game_style.css, CSS, 0, 0, 0, 47, 1, 18, 66
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\public\stylesheets\solo_mode.css, CSS, 0, 0, 0, 50, 15, 15, 80
c:\Users\thoma\Documents\Fall 2019\Full-Stack\trivia_app\queries.js, JavaScript, 178, 0, 0, 0, 12, 29, 219
Total, -, 810, 4155, 1369, 614, 288, 441, 7677
